id,manufacturer_id,name,isa,isa_version,isa_extensions,fp_pipestages,int_pipestages,max_uop_issued_per_cycle,ifu,lsfu,fpfu,tfu,max_inst_decoded,rob_size,iwindow,if_queue,bht_size,btb_size,bp_acc,arch_int_reg,arch_fp_reg,total_arch_reg,fp_coproc,out_of_order,memory_bw,integrated_mc,source,created_at,updated_at
43,9,NetBurst:Willamette,x86-32,,SSE2,,20,6,3,2,2,7,1,126,,,4096,4096,,128,128,256,,t,3200,t,"http://studies.ac.upc.edu/ETSETB/SEGPAR/microprocessors/pentium4%20(mpr).pdf http://www.hardwaresecrets.com/article/Inside-Pentium-4-Architecture/235/7 http://www.hardwaresecrets.com/article/Inside-AMD64-Architecture/324/6","2014-11-17 00:01:25.670184","2014-11-17 00:01:25.670184"
44,9,NetBurst:Northwood,x86-32,,SSE2,,20,6,3,2,2,7,1,126,,,4096,4096,,128,128,256,,t,3200,t,"http://studies.ac.upc.edu/ETSETB/SEGPAR/microprocessors/pentium4%20(mpr).pdf http://www.hardwaresecrets.com/article/Inside-Pentium-4-Architecture/235/7 http://www.hardwaresecrets.com/article/Inside-AMD64-Architecture/324/6","2014-11-17 00:01:25.685228","2014-11-17 00:01:25.685228"
45,9,NetBurst:Prescott,x86-32,,SSE3,,31,6,3,2,2,7,1,126,,,4096,,,128,128,256,,t,6400,t,"http://studies.ac.upc.edu/ETSETB/SEGPAR/microprocessors/pentium4%20(mpr).pdf http://www.hardwaresecrets.com/article/Inside-Pentium-4-Architecture/235/7 http://www.hardwaresecrets.com/article/Inside-AMD64-Architecture/324/6 http://www.tomshardware.com/reviews/intel","2014-11-17 00:01:25.698376","2014-11-17 00:01:25.698376"
46,9,"NetBurst:Cedar Mill",x86-32,,SSE3,,31,6,3,2,2,7,1,126,,,4096,,,128,128,256,,t,6400,t,"http://studies.ac.upc.edu/ETSETB/SEGPAR/microprocessors/pentium4%20(mpr).pdf http://www.hardwaresecrets.com/article/Inside-Pentium-4-Architecture/235/7 http://www.hardwaresecrets.com/article/Inside-AMD64-Architecture/324/6 http://www.tomshardware.com/reviews/intel","2014-11-17 00:01:25.713522","2014-11-17 00:01:25.713522"
47,9,NetBurst:Smithfield,x86-32,,SSE3,,31,6,3,2,2,7,1,126,,,4096,,,128,128,256,,t,6400,t,"http://studies.ac.upc.edu/ETSETB/SEGPAR/microprocessors/pentium4%20(mpr).pdf http://www.hardwaresecrets.com/article/Inside-Pentium-4-Architecture/235/7 http://www.hardwaresecrets.com/article/Inside-AMD64-Architecture/324/6 http://www.tomshardware.com/reviews/intel","2014-11-17 00:01:25.725404","2014-11-17 00:01:25.725404"
48,9,NetBurst:Presler,x86-32,,SSE3,,31,6,3,2,2,7,1,126,,,4096,,,128,128,256,,t,6400,t,"http://studies.ac.upc.edu/ETSETB/SEGPAR/microprocessors/pentium4%20(mpr).pdf http://www.hardwaresecrets.com/article/Inside-Pentium-4-Architecture/235/7 http://www.hardwaresecrets.com/article/Inside-AMD64-Architecture/324/6 http://www.tomshardware.com/reviews/intel","2014-11-17 00:01:25.737075","2014-11-17 00:01:25.737075"
49,9,P5,x86-32,,MMX,6,5,2,2,,1,3,,,,,,256,,40,,,,f,,t,http://arstechnica.com/old/content/2004/07/pentium-1.ars/,"2014-11-17 00:01:25.794355","2014-11-17 00:01:25.794355"
50,9,"P6:Pentium II",x86-32,,MMX,,14,,,,,,,40,,,,512,,40,,,,t,,t,http://www.hardwaresecrets.com/article/Inside-Pentium-4-Architecture/235/7,"2014-11-17 00:01:25.808975","2014-11-17 00:01:25.808975"
51,9,"P6:Pentium III",x86-32,,,,10,,,,,,,,,,,512,,40,,,,t,,t,http://www.hardwaresecrets.com/article/Inside-Pentium-4-Architecture/235/7,"2014-11-17 00:01:25.821898","2014-11-17 00:01:25.821898"
52,9,P6:Banias,x86-32,,SSE2,,,5,2,3,2,5,3,40,,,,,,40,40,40,,t,,f,http://www.hardwaresecrets.com/article/Inside-Pentium-M-Architecture/270/1,"2014-11-17 00:01:25.836716","2014-11-17 00:01:25.836716"
