id,created_at,updated_at,manufacturer_id,name,year,technology,feature_size,channel_length,metal_layers,metal,gate_type,vdd_nom,vth,source
36,"2014-11-17 00:01:23.344438","2014-11-17 00:01:23.344438",7,,2006,CMOS,0.065,0.035,10,,,0.8,,http://www.realworldtech.com/page.cfm?ArticleID=RWT101606194731
37,"2014-11-17 00:01:23.398712","2014-11-17 00:01:23.398712",7,,2004,CMOS,0.09,,,,,,,http://en.wikipedia.org/wiki/PowerPC_970#PowerPC_970FX
38,"2014-11-17 00:01:23.416022","2014-11-17 00:01:23.416022",7,,2001,CMOS,0.13,,8,copper,,,,http://pvcmuseum.com/cpu/ibm-powerpc-970.htm
39,"2014-11-17 00:01:23.430099","2014-11-17 00:01:23.430099",7,CMOS-8S3,1998,CMOS,0.18,0.1,7,copper,,1.5,,http://en.wikipedia.org/wiki/Alpha_21264#Alpha_21264C
40,"2014-11-17 00:01:23.440419","2014-11-17 00:01:23.440419",7,,1994,CMOS,0.35,0.35,4,,,2.5,,http://en.wikipedia.org/wiki/PowerPC_600#PowerPC_604e
41,"2014-11-17 00:01:23.455616","2014-11-17 00:01:23.455616",7,,1994,CMOS,0.35,0.35,5,,,2.5,,http://www.cpu-world.com/CPUs/PowerPC-603/IBM-PPC603evFB180r.html
42,"2014-11-17 00:01:23.469860","2014-11-17 00:01:23.469860",7,,1993,CMOS,0.72,0.45,4,,,,,http://en.wikipedia.org/wiki/POWER2
43,"2014-11-17 00:01:23.484558","2014-11-17 00:01:23.484558",7,,1996,CMOS,0.65,0.65,3,,,,,http://www.sandpile.org/impl/m1.htm
44,"2014-11-17 00:01:23.504295","2014-11-17 00:01:23.504295",7,CMOS-4S,1993,CMOS,0.6,0.6,4,aluminum,,,,http://en.wikipedia.org/wiki/PowerPC_600
45,"2014-11-17 00:01:23.518130","2014-11-17 00:01:23.518130",7,CMOS-5X,1994,CMOS,0.5,0.45,4,,,,,http://en.wikipedia.org/wiki/PowerPC_600
46,"2014-11-17 00:01:23.532613","2014-11-17 00:01:23.532613",7,CMOS-6S,1996,CMOS,0.29,0.29,5,aluminum,,,,http://en.wikipedia.org/wiki/POWER2
47,"2014-11-17 00:01:23.547411","2014-11-17 00:01:23.547411",7,,1997,CMOS,0.26,0.18,5,,,,,http://ams.cern.ch/AMS/Reports/AMSnote-99_10_02e_d01.ps.gz
48,"2014-11-17 00:01:23.562645","2014-11-17 00:01:23.562645",7,CMOS-6S2,1997,CMOS,0.25,0.18,5,aluminum,,2,,http://ieeexplore.ieee.org/xpls/abs_all.jsp?arnumber=127490
49,"2014-11-17 00:01:23.580110","2014-11-17 00:01:23.580110",7,CMOS-7S,1999,CMOS,0.22,0.22,6,copper,,,,http://en.wikipedia.org/wiki/POWER3
50,"2014-11-17 00:01:23.606197","2014-11-17 00:01:23.606197",8,,1996,CMOS,0.35,0.35,3,aluminum,,3.3,,http://en.wikipedia.org/wiki/R4600
51,"2014-11-17 00:01:23.620425","2014-11-17 00:01:23.620425",8,,1993,CMOS,0.65,0.65,,,,5,,http://en.wikipedia.org/wiki/R4600
52,"2014-11-17 00:01:23.647751","2014-11-17 00:01:23.647751",9,,1995,BICMOS,0.5,0.5,,,,,,
53,"2014-11-17 00:01:23.662541","2014-11-17 00:01:23.662541",9,,1994,BICMOS,0.6,0.6,4,,,3.3,,http://www.faqs.org/faqs/pc-hardware-faq/chiplist/part3/
54,"2014-11-17 00:01:23.677441","2014-11-17 00:01:23.677441",9,,1992,BICMOS,0.8,0.8,,,,,,
55,"2014-11-17 00:01:23.691002","2014-11-17 00:01:23.691002",9,CHMOS,1976,NMOS,3.2,3.2,2,,,5,,http://en.wikipedia.org/wiki/Intel_8086
