id,l1_unified,l1i,l1d,l2_shared,l2_shared_ncores,l3_shared,l3_shared_ncores,created_at,updated_at
70,,512,1024,,,,,"2014-11-17 00:01:58.827098","2014-11-17 00:01:58.827098"
71,,768,1536,,,,,"2014-11-17 00:01:59.251950","2014-11-17 00:01:59.251950"
72,,32,128,,,,,"2014-11-17 00:01:59.469851","2014-11-17 00:01:59.469851"
73,,32,64,,,,,"2014-11-17 00:01:59.526290","2014-11-17 00:01:59.526290"
74,,32,128,2048,,,,"2014-11-17 00:01:59.608404","2014-11-17 00:01:59.608404"
75,,32,64,2048,,,,"2014-11-17 00:01:59.644710","2014-11-17 00:01:59.644710"
76,,32,256,,,,,"2014-11-17 00:01:59.705693","2014-11-17 00:01:59.705693"
77,,64,32,1536,,,,"2014-11-17 00:02:00.041622","2014-11-17 00:02:00.041622"
78,,64,32,1920,,,,"2014-11-17 00:02:00.161663","2014-11-17 00:02:00.161663"
79,,,,,,36864,,"2014-11-17 00:02:00.172727","2014-11-17 00:02:00.172727"
80,,64,64,4096,1,,,"2014-11-17 00:02:00.383049","2014-11-17 00:02:00.383049"
81,,32,32,256,1,4096,1,"2014-11-17 00:02:00.588550","2014-11-17 00:02:00.588550"
82,,64,32,512,,,,"2014-11-17 00:02:00.757175","2014-11-17 00:02:00.757175"
83,,1,4,,,,,"2014-11-17 00:02:00.803897","2014-11-17 00:02:00.803897"
84,32,,,,,,,"2014-11-17 00:02:01.028023","2014-11-17 00:02:01.028023"
85,,32,24,512,1,,,"2014-11-17 00:02:03.017934","2014-11-17 00:02:03.017934"
86,,32,24,1024,1,,,"2014-11-17 00:02:03.064889","2014-11-17 00:02:03.064889"
87,,32,32,512,1,,,"2014-11-17 00:02:03.378899","2014-11-17 00:02:03.378899"
88,,16,16,512,1,,,"2014-11-17 00:02:03.411862","2014-11-17 00:02:03.411862"
89,,16,16,128,1,,,"2014-11-17 00:02:03.529197","2014-11-17 00:02:03.529197"
90,,32,32,1024,,,,"2014-11-17 00:02:03.710366","2014-11-17 00:02:03.710366"
91,,32,32,256,1,2048,,"2014-11-17 00:02:03.879087","2014-11-17 00:02:03.879087"
92,,32,32,4096,,,,"2014-11-17 00:02:04.282504","2014-11-17 00:02:04.282504"
93,,32,32,3072,,,,"2014-11-17 00:02:04.431970","2014-11-17 00:02:04.431970"
94,,32,32,6144,,,,"2014-11-17 00:02:04.624467","2014-11-17 00:02:04.624467"
95,,32,32,8192,2,,,"2014-11-17 00:02:05.427991","2014-11-17 00:02:05.427991"
96,,32,32,4096,2,,,"2014-11-17 00:02:05.499649","2014-11-17 00:02:05.499649"
97,,32,32,6142,2,,,"2014-11-17 00:02:05.693140","2014-11-17 00:02:05.693140"
98,,32,32,3072,2,,,"2014-11-17 00:02:05.747221","2014-11-17 00:02:05.747221"
99,,32,32,12288,2,,,"2014-11-17 00:02:05.792949","2014-11-17 00:02:05.792949"
100,,32,32,256,1,3072,,"2014-11-17 00:02:06.285624","2014-11-17 00:02:06.285624"
101,,32,32,256,1,4096,,"2014-11-17 00:02:06.359663","2014-11-17 00:02:06.359663"
102,,32,32,256,1,8192,,"2014-11-17 00:02:06.841776","2014-11-17 00:02:06.841776"
103,,32,32,256,1,6144,,"2014-11-17 00:02:06.910204","2014-11-17 00:02:06.910204"
104,,32,32,256,1,12288,,"2014-11-17 00:02:07.338432","2014-11-17 00:02:07.338432"
105,,16,16,96,,,,"2014-11-17 00:02:07.455149","2014-11-17 00:02:07.455149"
106,,16,16,256,1,3072,,"2014-11-17 00:02:07.537035","2014-11-17 00:02:07.537035"
107,,16,16,256,1,1536,,"2014-11-17 00:02:07.577862","2014-11-17 00:02:07.577862"
108,,8,8,256,,,,"2014-11-17 00:02:07.891985","2014-11-17 00:02:07.891985"
109,,8,8,512,,,,"2014-11-17 00:02:07.947813","2014-11-17 00:02:07.947813"
110,,16,16,512,,,,"2014-11-17 00:02:08.008723","2014-11-17 00:02:08.008723"
111,,12,16,1024,,,,"2014-11-17 00:02:08.370897","2014-11-17 00:02:08.370897"
112,,12,16,2048,,,,"2014-11-17 00:02:08.577692","2014-11-17 00:02:08.577692"
113,,12,8,256,,,,"2014-11-17 00:02:08.709249","2014-11-17 00:02:08.709249"
114,,12,8,512,,,,"2014-11-17 00:02:08.777830","2014-11-17 00:02:08.777830"
115,,12,8,2048,,,,"2014-11-17 00:02:08.899149","2014-11-17 00:02:08.899149"
116,,12,16,2048,1,,,"2014-11-17 00:02:08.976174","2014-11-17 00:02:08.976174"
117,,12,16,4096,1,,,"2014-11-17 00:02:09.141365","2014-11-17 00:02:09.141365"
118,,12,16,4096,,,,"2014-11-17 00:02:11.498228","2014-11-17 00:02:11.498228"
119,,16,16,4096,1,4096,,"2014-11-17 00:02:11.540225","2014-11-17 00:02:11.540225"
120,,16,16,8192,1,8192,,"2014-11-17 00:02:11.607512","2014-11-17 00:02:11.607512"
121,,16,16,16384,1,16384,,"2014-11-17 00:02:11.645998","2014-11-17 00:02:11.645998"
122,,32,32,6144,2,,,"2014-11-17 00:02:13.939224","2014-11-17 00:02:13.939224"
123,,32,32,256,1,12888,,"2014-11-17 00:02:15.097404","2014-11-17 00:02:15.097404"
