id,processor_id,created_at,updated_at,score,threads,thread_model,date,link
44,1142,"2014-11-17 00:08:21.866966","2014-11-17 00:08:21.866966",31302.24,8,PThreads,2011-02-17,http://www.coremark.org/benchmark/index.php
45,1147,"2014-11-17 00:08:21.887178","2014-11-17 00:08:21.887178",48343.68,8,PThreads,2011-02-16,http://www.coremark.org/benchmark/index.php
46,1135,"2014-11-17 00:08:21.907888","2014-11-17 00:08:21.907888",10379.9,1,,2010-11-25,http://www.coremark.org/benchmark/index.php
47,1135,"2014-11-17 00:08:21.927502","2014-11-17 00:08:21.927502",13456.23,1,,2010-11-25,http://www.coremark.org/benchmark/index.php
48,1134,"2014-11-17 00:08:21.945109","2014-11-17 00:08:21.945109",21084.81,2,Fork,2010-11-25,http://www.coremark.org/benchmark/index.php
49,1092,"2014-11-17 00:08:21.963546","2014-11-17 00:08:21.963546",5285.4,1,,2010-11-22,http://www.coremark.org/benchmark/index.php
50,1092,"2014-11-17 00:08:21.981077","2014-11-17 00:08:21.981077",10136.8,2,PThreads,2010-11-22,http://www.coremark.org/benchmark/index.php
51,1125,"2014-11-17 00:08:22.001358","2014-11-17 00:08:22.001358",5300.7,1,,2010-10-09,http://www.coremark.org/benchmark/index.php
52,1125,"2014-11-17 00:08:22.019434","2014-11-17 00:08:22.019434",10252.6,2,PThreads,2010-10-09,http://www.coremark.org/benchmark/index.php
53,1062,"2014-11-17 00:08:22.040106","2014-11-17 00:08:22.040106",7344.1,1,,2010-09-20,http://www.coremark.org/benchmark/index.php
54,1062,"2014-11-17 00:08:22.059912","2014-11-17 00:08:22.059912",14536.8,2,PThreads,2010-09-20,http://www.coremark.org/benchmark/index.php
55,1303,"2014-11-17 00:08:22.076552","2014-11-17 00:08:22.076552",8360.57,1,,2010-08-05,http://www.coremark.org/benchmark/index.php
56,1303,"2014-11-17 00:08:22.104741","2014-11-17 00:08:22.104741",16438.77,2,PThreads,2010-08-05,http://www.coremark.org/benchmark/index.php
57,1303,"2014-11-17 00:08:22.123682","2014-11-17 00:08:22.123682",32355.32,4,PThreads,2010-08-05,http://www.coremark.org/benchmark/index.php
58,1303,"2014-11-17 00:08:22.145641","2014-11-17 00:08:22.145641",47512.78,6,PThreads,2010-08-05,http://www.coremark.org/benchmark/index.php
59,1303,"2014-11-17 00:08:22.163014","2014-11-17 00:08:22.163014",63227.48,8,PThreads,2010-08-05,http://www.coremark.org/benchmark/index.php
60,1303,"2014-11-17 00:08:22.259381","2014-11-17 00:08:22.259381",91743.12,12,PThreads,2010-08-05,http://www.coremark.org/benchmark/index.php
61,1303,"2014-11-17 00:08:22.280936","2014-11-17 00:08:22.280936",92612.09,16,PThreads,2010-08-05,http://www.coremark.org/benchmark/index.php
62,1303,"2014-11-17 00:08:22.298762","2014-11-17 00:08:22.298762",118571.75,24,PThreads,2010-08-05,http://www.coremark.org/benchmark/index.php
63,1273,"2014-11-17 00:08:22.316446","2014-11-17 00:08:22.316446",7348.03,1,,2010-06-24,http://www.coremark.org/benchmark/index.php
64,1273,"2014-11-17 00:08:22.337911","2014-11-17 00:08:22.337911",29127.5,4,PThreads,2010-06-24,http://www.coremark.org/benchmark/index.php
65,1273,"2014-11-17 00:08:22.357879","2014-11-17 00:08:22.357879",59223.37,8,PThreads,2010-06-24,http://www.coremark.org/benchmark/index.php
66,1297,"2014-11-17 00:08:22.378348","2014-11-17 00:08:22.378348",6285.7,1,,2010-06-21,http://www.coremark.org/benchmark/index.php
67,1297,"2014-11-17 00:08:22.397851","2014-11-17 00:08:22.397851",24895.3,4,PThreads,2010-06-21,http://www.coremark.org/benchmark/index.php
68,1297,"2014-11-17 00:08:22.417484","2014-11-17 00:08:22.417484",12413.2,2,PThreads,2010-06-21,http://www.coremark.org/benchmark/index.php
69,1297,"2014-11-17 00:08:22.437433","2014-11-17 00:08:22.437433",50317.3,8,PThreads,2010-06-21,http://www.coremark.org/benchmark/index.php
70,1049,"2014-11-17 00:08:22.455226","2014-11-17 00:08:22.455226",5353.79,2,Fork,2010-06-13,http://www.coremark.org/benchmark/index.php
71,1180,"2014-11-17 00:08:22.474008","2014-11-17 00:08:22.474008",5007.06,1,,2010-06-10,http://www.coremark.org/benchmark/index.php
72,1180,"2014-11-17 00:08:22.493690","2014-11-17 00:08:22.493690",6643.92,2,PThreads,2010-06-10,http://www.coremark.org/benchmark/index.php
