id,processor_id,created_at,updated_at,hw_avail,test_sponsor,hw_model,basemean,peakmean,101_tomcatv,102_swim,103_su2cor,104_hydro2d,107_mgrid,110_applu,125_turb3d,141_apsi,145_fpppp,146_wave5,link
256,959,"2014-11-17 00:05:49.490123","2014-11-17 00:05:49.490123",1995-03-01,"IBM; Austin; TX","RISC System/6000 3CT/39H",9.44,0,18.4,22.8,6.52,4.36,6.87,6.56,8.61,7.32,11.9,13.9,http://www.spec.org/cpu95/results/res96q2/cpu95-960401-00530.html
257,1005,"2014-11-17 00:05:49.510673","2014-11-17 00:05:49.510673",1995-06-01,"IBM; Austin TX","RISC System/6000 43P",3.04,3.2,3.79,4.36,1.87,1.89,2.95,2.67,3.83,3.37,5.32,2.11,http://www.spec.org/cpu95/results/res9509/p063.html
258,1004,"2014-11-17 00:05:49.528624","2014-11-17 00:05:49.528624",1995-07-01,"IBM; Austin; TX","RISC System/6000 43P",3.08,3.38,3.78,4.42,1.94,1.84,3.14,2.7,4.05,3.73,4.48,2.21,http://www.spec.org/cpu95/results/res96q2/cpu95-960401-00525.html
259,1005,"2014-11-17 00:05:49.547143","2014-11-17 00:05:49.547143",1995-07-01,"IBM; Austin; TX","RISC System/6000 43P",3.59,3.76,4.22,4.93,2.17,2.05,3.49,3.01,4.52,4.3,7.72,2.43,http://www.spec.org/cpu95/results/res96q2/cpu95-960401-00528.html
260,1005,"2014-11-17 00:05:49.568725","2014-11-17 00:05:49.568725",1995-07-01,"IBM; Austin; TX","RISC System/6000 43P",3.31,0,3.63,4.88,1.73,1.59,2.92,2.35,4.63,4.08,8.24,3.01,http://www.spec.org/cpu95/results/res96q2/cpu95-960401-00542.html
261,1016,"2014-11-17 00:05:49.652804","2014-11-17 00:05:49.652804",1998-10-01,"IBM; Austin; TX","RISC System/6000 43P-150",9.76,10.1,10.8,17.1,4.76,4.29,7.81,5.6,12.6,11.7,35.6,9.07,http://www.spec.org/cpu95/results/res98q4/cpu95-981012-03107.html
262,963,"2014-11-17 00:05:49.685328","2014-11-17 00:05:49.685328",1998-10-01,"IBM; Austin; TX","RISC System/6000 43P-260",27.6,30.1,45.2,50.6,16.9,22,27.9,18,34,22.3,37.3,20.8,http://www.spec.org/cpu95/results/res98q4/cpu95-981012-03111.html
263,963,"2014-11-17 00:05:49.703690","2014-11-17 00:05:49.703690",1998-10-01,"IBM; Austin; TX","RISC System/6000 43P-260 (1 CPU)",25.1,27,41.9,47.8,16.3,20.7,23.3,18.4,25.7,21.3,30.2,20.8,http://www.spec.org/cpu95/results/res99q3/cpu95-19990819-03801.html
264,959,"2014-11-17 00:05:49.723982","2014-11-17 00:05:49.723982",1993-09-01,"IBM; Austin TX","RISC System/6000 590",9.69,0,19.9,24.7,7.07,4.68,7.12,7.15,8.09,6.41,11.5,14.7,http://www.spec.org/cpu95/results/res96q2/cpu95-960401-00558.html
265,962,"2014-11-17 00:05:49.745099","2014-11-17 00:05:49.745099",1995-07-01,"IBM; Austin; TX","RISC System/6000 591",11.2,12.4,23.1,28.6,8.2,5.4,8.22,8.28,9.38,7.39,13.3,17,http://www.spec.org/cpu95/results/res9512/p066.html
266,962,"2014-11-17 00:05:49.764159","2014-11-17 00:05:49.764159",1995-07-01,"IBM; Austin; TX","RISC System/6000 591",11.2,0,23.1,28.6,8.2,5.4,8.22,8.28,9.38,7.39,13.3,17,http://www.spec.org/cpu95/results/res9509/p066.html
267,959,"2014-11-17 00:05:49.783729","2014-11-17 00:05:49.783729",1994-05-01,"IBM; Austin TX","RISC System/6000 59H",9.23,9.8,18.1,22.7,6.23,4.22,6.72,6.47,8.52,6.96,11.8,13.6,http://www.spec.org/cpu95/results/res96q2/cpu95-960401-00526.html
268,959,"2014-11-17 00:05:49.803170","2014-11-17 00:05:49.803170",1994-05-01,"IBM; Austin TX","RISC System/6000 59H",8.75,9.33,18,22.7,5.44,4.15,6.49,6.44,7.83,5.77,11.4,13.1,http://www.spec.org/cpu95/results/res96q2/cpu95-960401-00551.html
269,995,"2014-11-17 00:05:49.822427","2014-11-17 00:05:49.822427",1994-06-01,"IBM; Austin; TX","RISC System/6000 C10",2.97,0,4.41,6.71,2.25,1.54,2.45,2.25,2.04,3.09,4.53,3.29,http://www.spec.org/cpu95/results/res9509/p062.html
270,1004,"2014-11-17 00:05:49.841983","2014-11-17 00:05:49.841983",1995-07-01,"IBM; Austin; TX","RISC System/6000 C20",3.5,0,4.1,5.09,2.4,2.06,3.16,2.97,4.93,4.25,5.04,2.68,http://www.spec.org/cpu95/results/res9509/p064.html
271,1002,"2014-11-17 00:05:49.861323","2014-11-17 00:05:49.861323",1995-09-01,"IBM; Austin; TX","RISC System/6000 E20 Server",3.11,0,3.73,4.63,1.85,1.61,2.66,2.44,4.28,3.49,6.23,2.71,http://www.spec.org/cpu95/results/res9512/p067.html
272,1020,"2014-11-17 00:05:49.880527","2014-11-17 00:05:49.880527",1999-04-01,"IBM; Austin; TX","RISC System/6000 H70 (1 CPU)",20.2,21.2,26.9,24,11.2,12.4,20.2,15.4,23,17.7,36.9,26.5,http://www.spec.org/cpu95/results/res99q2/cpu95-19990330-03519.html
273,961,"2014-11-17 00:05:49.898859","2014-11-17 00:05:49.898859",1994-05-01,"IBM; Austin TX","RISC System/6000 R24",9.47,10.1,19.5,24.6,5.95,4.48,6.97,6.93,8.42,6.48,12.3,14,http://www.spec.org/cpu95/results/res96q2/cpu95-960401-00529.html
274,1006,"2014-11-17 00:05:49.920458","2014-11-17 00:05:49.920458",1996-11-01,"IBM; Austin TX","RS/6000 43P",4.83,5.01,6.1,10.1,2.29,2.23,3.84,3.3,5.55,5.26,15.6,3.8,http://www.spec.org/cpu95/results/res96q4/cpu95-961122-01528.html
275,1006,"2014-11-17 00:05:49.940885","2014-11-17 00:05:49.940885",1996-11-01,"IBM; Austin TX","RS/6000 43P-140",4.66,4.83,6,9.65,2.2,2.15,3.76,3.17,5.23,5.05,15.5,3.64,http://www.spec.org/cpu95/results/res96q4/cpu95-961122-01522.html
276,1007,"2014-11-17 00:05:49.958120","2014-11-17 00:05:49.958120",1996-11-01,"IBM; Austin TX","RS/6000 43P-140",5.07,5.23,6.14,9.99,2.42,2.28,4.13,3.33,5.62,5.93,18.6,3.9,http://www.spec.org/cpu95/results/res96q4/cpu95-961122-01526.html
277,1007,"2014-11-17 00:05:49.976698","2014-11-17 00:05:49.976698",1996-11-01,"IBM; Austin TX","RS/6000 43P-140 (200MHz)",5.12,5.43,5.1,10.2,2.49,2.31,4.24,3.21,6.09,6.09,19.4,4.21,http://www.spec.org/cpu95/results/res97q2/cpu95-970414-01772.html
278,1009,"2014-11-17 00:05:49.995233","2014-11-17 00:05:49.995233",1997-04-01,"IBM; Austin TX","RS/6000 43P-140 (233MHz)",5.48,5.75,5.24,9.47,2.65,2.17,4.29,3.01,6.84,7.02,22.6,6.12,http://www.spec.org/cpu95/results/res97q2/cpu95-970414-01784.html
279,1013,"2014-11-17 00:05:50.017099","2014-11-17 00:05:50.017099",1997-10-01,"IBM; Austin; TX","RS/6000 43P-140 (332 MHz)",5.99,6.21,5.41,9.44,2.74,2.2,4.6,3.13,7.18,7.98,36.3,6.5,http://www.spec.org/cpu95/results/res98q4/cpu95-981012-03117.html
280,1009,"2014-11-17 00:05:50.035476","2014-11-17 00:05:50.035476",1997-04-01,"IBM; Austin TX","RS/6000 43P-140 Upgrade (233MHz)",5.3,5.63,5.09,10.3,2.49,2.33,4.41,3.28,6.43,6.46,22.4,4.28,http://www.spec.org/cpu95/results/res97q2/cpu95-970414-01787.html
281,1010,"2014-11-17 00:05:50.055342","2014-11-17 00:05:50.055342",2000-05-01,"IBM; Austin; TX","RS/6000 43P-150 (250MHz)",8.28,8.78,9.5,14.7,4.21,3.77,6.72,5.33,9.99,9.52,23.8,8.37,http://www.spec.org/cpu95/results/res2000q2/cpu95-20000508-04232.html
282,1009,"2014-11-17 00:05:50.075902","2014-11-17 00:05:50.075902",1997-05-01,"IBM; Austin TX","RS/6000 43P-240 & F40 (233MHz 1 Proc.)",5.6,5.87,5.53,9.1,2.94,2.3,4.01,3.24,7.28,6.91,22.2,6.11,http://www.spec.org/cpu95/results/res97q2/cpu95-970414-01785.html
283,1006,"2014-11-17 00:05:50.094995","2014-11-17 00:05:50.094995",1996-11-01,"IBM; Austin TX","RS/6000 43P-240; F40 & H10",4.6,4.75,5.16,8.02,2.3,2.11,3.34,3.19,6,4.65,15.2,4.69,http://www.spec.org/cpu95/results/res96q4/cpu95-961122-01523.html
284,966,"2014-11-17 00:05:50.120793","2014-11-17 00:05:50.120793",2000-02-01,"IBM; Austin; TX","RS/6000 44P-170 (333 MHz)",34,35.6,43.2,60.6,18.6,22.2,33.1,23.1,42.6,23.3,54.6,45.7,http://www.spec.org/cpu95/results/res2000q1/cpu95-20000124-04016.html
285,968,"2014-11-17 00:05:50.138296","2014-11-17 00:05:50.138296",2000-02-01,"IBM; Austin; TX","RS/6000 44P-170 (400 MHz)",46,47.9,56.7,76.4,31.4,31.7,42.8,27.4,57.1,34.3,67.1,63,http://www.spec.org/cpu95/results/res2000q1/cpu95-20000124-04012.html
286,967,"2014-11-17 00:05:50.157214","2014-11-17 00:05:50.157214",2000-02-01,"IBM; Austin; TX","RS/6000 44P-270 (1 CPU)",46,48.2,53.2,72.6,35.7,32.6,40.8,26.5,55.6,38.2,62.7,65.8,http://www.spec.org/cpu95/results/res2000q1/cpu95-20000124-04024.html
287,1006,"2014-11-17 00:05:50.179164","2014-11-17 00:05:50.179164",1996-11-01,"IBM; Austin TX","RS/6000 E30 & F30",4.62,4.77,5.44,8.85,2.42,1.95,3.47,2.96,5.49,5.38,15.1,4.32,http://www.spec.org/cpu95/results/res96q4/cpu95-961122-01527.html
288,1009,"2014-11-17 00:05:50.197077","2014-11-17 00:05:50.197077",1997-04-01,"IBM; Austin TX","RS/6000 E30 & F30 (233MHz)",5.71,6.01,5.84,10.2,2.56,2.15,4.56,3.26,7.59,6.83,22.1,6.61,http://www.spec.org/cpu95/results/res97q2/cpu95-970414-01782.html
289,1009,"2014-11-17 00:05:50.215906","2014-11-17 00:05:50.215906",1997-05-01,"IBM; Austin; TX","RS/6000 F40 (233MHz 1 CPU)",5.12,5.34,4.99,7.5,2.62,2.01,3.83,2.92,7.33,6.51,21.8,5.36,http://www.spec.org/cpu95/results/res2000q1/cpu95-20000214-04069.html
290,1006,"2014-11-17 00:05:50.235486","2014-11-17 00:05:50.235486",1997-04-01,"IBM; Austin TX","RS/6000 F50 (166MHz 1 Proc.)",8.11,8.52,11.6,17.8,4.34,4.57,5.9,5.79,9.42,6.55,16.5,8.59,http://www.spec.org/cpu95/results/res97q2/cpu95-970414-01761.html
291,1022,"2014-11-17 00:05:50.257164","2014-11-17 00:05:50.257164",2000-06-01,"IBM; Austin; TX","RS/6000 Model 7026-F80 (1 CPU)",24.8,25.4,29.3,38.1,18,11.4,21,16.5,28.7,23.5,49.2,33.8,http://www.spec.org/cpu95/results/res2000q2/cpu95-20000505-04218.html
292,1022,"2014-11-17 00:05:50.275361","2014-11-17 00:05:50.275361",2000-06-01,"IBM; Austin; TX","RS/6000 Model 7026-H80 (1 CPU)",24.8,25.4,29.3,38.1,18,11.4,21,16.5,28.7,23.5,49.2,33.8,http://www.spec.org/cpu95/results/res2000q2/cpu95-20000505-04212.html
293,1023,"2014-11-17 00:05:50.300102","2014-11-17 00:05:50.300102",2000-06-01,"IBM; Austin; TX","RS/6000 Model 7026-M80 (1 CPU)",28.5,29.1,31.9,40.7,21.7,16.2,24.5,17.9,31.8,26.7,54.5,38.6,http://www.spec.org/cpu95/results/res2000q2/cpu95-20000505-04225.html
294,1013,"2014-11-17 00:05:50.320289","2014-11-17 00:05:50.320289",1998-02-01,"IBM; Austin; TX","RS/6000 Model F50 (332 MHz; 1 CPU)",12.1,12.6,15.1,24.4,5.68,6.1,9.6,8.05,15,9.22,36.9,12.8,http://www.spec.org/cpu95/results/res98q1/cpu95-980202-02401.html
295,1013,"2014-11-17 00:05:50.338300","2014-11-17 00:05:50.338300",1998-02-01,"IBM; Austin; TX","RS/6000 Model H50 (1 CPU)",12.1,12.6,15.1,24.4,5.68,6.1,9.6,8.05,15,9.22,36.9,12.8,http://www.spec.org/cpu95/results/res98q1/cpu95-980202-02398.html
296,999,"2014-11-17 00:05:50.358021","2014-11-17 00:05:50.358021",1996-11-01,"IBM; Austin TX","RS/6000 Notebook 860",2.62,2.71,3.27,3.57,1.14,1.63,2.51,2.37,3.51,2.85,6.77,1.71,http://www.spec.org/cpu95/results/res96q4/cpu95-961122-01524.html
297,964,"2014-11-17 00:05:50.376846","2014-11-17 00:05:50.376846",1999-10-01,"IBM; Austin; TX","RS/6000 SP-222 MHz High Node (1 CPU)",26.3,28.6,37.9,40.8,16.2,19.9,24.6,16.1,35.4,24.8,39.6,22.9,http://www.spec.org/cpu95/results/res99q4/cpu95-19991105-03901.html
298,967,"2014-11-17 00:05:50.474911","2014-11-17 00:05:50.474911",2000-08-01,"IBM; Austin; TX","RS/6000 SP-375MHz High Node (1 CPU)",48.8,51.3,56.3,69.5,37.9,44.3,51.5,25,57,38.1,62.6,65.9,http://www.spec.org/cpu95/results/res2000q3/cpu95-20000630-04278.html
299,967,"2014-11-17 00:05:50.494490","2014-11-17 00:05:50.494490",2000-02-01,"IBM; Austin; TX","RS/6000 SP-375MHz T/W (1 CPU)",47.1,50.9,62.4,70.7,32.1,43.3,51.4,26.1,58,41.7,68,39.6,http://www.spec.org/cpu95/results/res2000q1/cpu95-20000110-03973.html
300,1212,"2014-11-17 00:05:50.517453","2014-11-17 00:05:50.517453",1999-03-01,"Intel Corp.","Intel MS440GX Motherboard (Pentium II Xeon 450 MHz)",13.5,15,19.4,27.5,9.23,8.61,8.74,8.13,12.1,16.5,23.4,14.8,http://www.spec.org/cpu95/results/res99q2/cpu95-19990329-03497.html
301,1221,"2014-11-17 00:05:50.539450","2014-11-17 00:05:50.539450",1999-03-01,"Intel Corp.","Intel MS440GX Motherboard (Pentium III Xeon 500 MHz)",14.3,15.9,19.6,28.7,9.61,8.87,9.43,8.72,13,17.8,25.4,15.6,http://www.spec.org/cpu95/results/res99q2/cpu95-19990329-03496.html
302,1222,"2014-11-17 00:05:50.559417","2014-11-17 00:05:50.559417",1999-04-01,"Intel Corp.","Intel MS440GX Motherboard (Pentium III Xeon 550 MHz)",15.1,16.9,20,29.6,9.9,8.94,10.1,9.15,14.2,19.2,27.9,17,http://www.spec.org/cpu95/results/res99q2/cpu95-19990329-03494.html
303,1238,"2014-11-17 00:05:50.579899","2014-11-17 00:05:50.579899",1996-01-01,Intel,"Alder System (150MHz)",4.76,5.42,7.92,9.74,3.1,3.5,2.57,2.54,4.59,5.22,7.87,5.85,http://www.spec.org/cpu95/results/res9512/p068.html
304,1239,"2014-11-17 00:05:50.600677","2014-11-17 00:05:50.600677",1996-03-01,Intel,"Alder System (166MHz; 512KB L2)",5.47,6.21,8.92,10.9,3.92,3.92,2.93,2.83,5.12,6.34,8.79,6.75,http://www.spec.org/cpu95/results/res9512/p069.html
305,1240,"2014-11-17 00:05:50.623002","2014-11-17 00:05:50.623002",1996-05-01,Intel,"Alder System (180MHz; 256KB L2)",5.4,6.08,8.69,11.1,3.35,3.74,2.89,2.96,5.34,5.96,9.49,6.81,http://www.spec.org/cpu95/results/res9512/p070.html
306,1241,"2014-11-17 00:05:50.643027","2014-11-17 00:05:50.643027",1996-05-01,Intel,"Alder System (200MHz; 256KB L2)",5.99,6.75,9.64,12.3,3.7,4.16,3.22,3.29,5.93,6.64,10.6,7.41,http://www.spec.org/cpu95/results/res9512/p071.html
307,1056,"2014-11-17 00:05:50.663728","2014-11-17 00:05:50.663728",1998-06-01,"Intel Corp.","Intel AL440LX Motherboard(300MHz; Celeron processor)",6.05,6.97,6.99,10.6,4.26,4.62,4.88,5.31,7.01,8.5,6.32,4.63,http://www.spec.org/cpu95/results/res99q2/cpu95-19990329-03484.html
308,1057,"2014-11-17 00:05:50.689950","2014-11-17 00:05:50.689950",1998-08-01,"Intel Corp.","Intel AL440LX Motherboard(333MHz; Celeron processor)",9.15,9.65,14.1,20.3,4.58,5.11,5.41,5.77,8.72,9.63,20,11.6,http://www.spec.org/cpu95/results/res99q2/cpu95-19990329-03479.html
309,1058,"2014-11-17 00:05:50.712703","2014-11-17 00:05:50.712703",1999-01-01,"Intel Corp.","Intel AL440LX Motherboard(366 MHz; Celeron processor)",9.56,10.1,14.5,21.1,4.7,5.19,5.53,6.13,9.34,10.1,22.1,12.1,http://www.spec.org/cpu95/results/res99q2/cpu95-19990329-03475.html
310,1059,"2014-11-17 00:05:50.733417","2014-11-17 00:05:50.733417",1999-01-01,"Intel Corp.","Intel AL440LX Motherboard(400MHz; Celeron processor)",10,10.6,14.9,21.9,4.81,5.3,5.76,6.41,9.9,10.6,24.1,13,http://www.spec.org/cpu95/results/res99q2/cpu95-19990329-03477.html
311,1060,"2014-11-17 00:05:50.754308","2014-11-17 00:05:50.754308",1999-03-01,"Intel Corp.","Intel AL440LX Motherboard(433MHz; Celeron processor)",10.4,10.9,15.2,22.4,4.89,5.34,5.92,6.69,10.4,11,26,13.5,http://www.spec.org/cpu95/results/res99q2/cpu95-19990329-03492.html
312,1206,"2014-11-17 00:05:50.789946","2014-11-17 00:05:50.789946",1997-08-01,Intel,"Intel AL440LX motherboard (233MHz)",6.32,7.04,9.3,13.6,4.34,4.24,3.49,4.63,6.49,7.51,7.75,7.17,http://www.spec.org/cpu95/results/res97q4/cpu95-970916-02133.html
313,1206,"2014-11-17 00:05:50.810116","2014-11-17 00:05:50.810116",1997-08-01,"Intel Corporation","Intel AL440LX motherboard (233MHz; NT)",6.69,7.32,9.86,14.3,4.6,4.38,4.77,4.37,6.35,8.58,7.78,7.18,http://www.spec.org/cpu95/results/res98q1/cpu95-980302-02517.html
314,1207,"2014-11-17 00:05:50.831033","2014-11-17 00:05:50.831033",1997-08-01,Intel,"Intel AL440LX motherboard (266MHz)",6.97,7.68,10.2,15,4.7,4.43,3.87,5.09,7.24,8.3,8.86,8.07,http://www.spec.org/cpu95/results/res97q4/cpu95-970916-02134.html
315,1207,"2014-11-17 00:05:50.851248","2014-11-17 00:05:50.851248",1997-08-01,"Intel Corporation","Intel AL440LX motherboard (266MHz; NT)",7.39,7.98,10.7,15.8,4.95,4.59,5.32,4.85,7.03,9.58,8.89,8.15,http://www.spec.org/cpu95/results/res98q1/cpu95-980302-02519.html
316,1208,"2014-11-17 00:05:50.872347","2014-11-17 00:05:50.872347",1997-08-01,"Intel Corporation","Intel AL440LX motherboard (300MHz; L2 ECC; NT)",7.9,8.48,11.4,16.7,5.12,4.76,5.68,5.26,7.78,10.5,9.31,8.94,http://www.spec.org/cpu95/results/res98q1/cpu95-980302-02521.html
317,1208,"2014-11-17 00:05:50.891979","2014-11-17 00:05:50.891979",1997-08-01,Intel,"Intel AL440LX motherboard (300MHz; L2 w/ECC)",7.45,8.15,10.7,15.9,4.93,4.57,4.17,5.5,7.97,9.14,9.29,8.8,http://www.spec.org/cpu95/results/res97q4/cpu95-970916-02136.html
318,1209,"2014-11-17 00:05:50.911341","2014-11-17 00:05:50.911341",1998-01-01,"Intel Corporation","Intel AL440LX motherboard (333MHz; L2 ECC; NT)",8.6,9.25,11.3,17.3,5.41,4.89,6.08,5.62,8.4,11.3,14.1,9.33,http://www.spec.org/cpu95/results/res98q1/cpu95-980302-02523.html
319,1209,"2014-11-17 00:05:50.930080","2014-11-17 00:05:50.930080",1998-01-01,Intel,"Intel AL440LX motherboard (333MHz; L2 w/ECC)",8.32,9.14,11.4,17.1,5.25,4.98,4.55,6,8.7,9.98,14,9.37,http://www.spec.org/cpu95/results/res98q1/cpu95-980126-02343.html
320,1208,"2014-11-17 00:05:50.949710","2014-11-17 00:05:50.949710",1997-11-01,"Intel Corporation","Intel DK440LX motherboard (300MHz; L2 ECC; NT)",7.89,8.46,11.4,16.7,5.16,4.75,5.67,5.25,7.77,10.5,9.31,8.9,http://www.spec.org/cpu95/results/res98q1/cpu95-980302-02541.html
321,1209,"2014-11-17 00:05:50.978091","2014-11-17 00:05:50.978091",1997-11-01,"Intel Corporation","Intel DK440LX motherboard (333MHz; L2 ECC; NT)",8.58,9.25,11.3,17.3,5.29,4.88,6.07,5.62,8.4,11.3,14.1,9.33,http://www.spec.org/cpu95/results/res98q1/cpu95-980302-02543.html
322,1167,"2014-11-17 00:05:50.999486","2014-11-17 00:05:50.999486",1997-06-01,Intel,"Intel LT430TX Motherboard (133MHz)",2.54,3.5,3.75,4.26,1.72,2.19,1.29,1.34,2.69,2.78,4.21,3.44,http://www.spec.org/cpu95/results/res97q3/cpu95-970623-01956.html
323,1168,"2014-11-17 00:05:51.021925","2014-11-17 00:05:51.021925",1997-06-01,Intel,"Intel LT430TX Motherboard (150MHz)",2.57,3.53,3.52,3.96,1.67,2.21,1.41,1.32,2.87,2.92,4.77,3.27,http://www.spec.org/cpu95/results/res97q3/cpu95-970623-01954.html
324,1169,"2014-11-17 00:05:51.041700","2014-11-17 00:05:51.041700",1997-06-01,Intel,"Intel LT430TX Motherboard (166MHz)",2.86,3.92,3.91,4.39,1.86,2.46,1.56,1.47,3.19,3.24,5.3,3.65,http://www.spec.org/cpu95/results/res97q3/cpu95-970623-01960.html
325,1169,"2014-11-17 00:05:51.159379","2014-11-17 00:05:51.159379",1997-06-01,Intel,"Intel LT430TX Motherboard (166MHz; Intel MMX technology)",3.58,4.34,6.7,7.47,2.71,2.51,1.6,1.76,3.55,3.7,5.27,5.23,http://www.spec.org/cpu95/results/res97q3/cpu95-970623-01967.html
326,1170,"2014-11-17 00:05:51.180654","2014-11-17 00:05:51.180654",1997-06-01,Intel,"Intel LT430TX Motherboard (200MHz)",3.14,4.32,4.1,4.59,2.06,2.7,1.84,1.63,3.7,3.69,5.67,3.86,http://www.spec.org/cpu95/results/res97q3/cpu95-970623-01959.html
327,1170,"2014-11-17 00:05:51.199404","2014-11-17 00:05:51.199404",1997-06-01,Intel,"Intel LT430TX Motherboard (200MHz; Intel MMX technology)",3.98,4.87,7.28,8.15,2.93,2.77,1.89,1.96,4.18,4.3,5.38,5.73,http://www.spec.org/cpu95/results/res97q3/cpu95-970623-01961.html
328,1171,"2014-11-17 00:05:51.220418","2014-11-17 00:05:51.220418",1997-06-01,Intel,"Intel LT430TX Motherboard (233MHz; Intel MMX technology)",4.23,5.21,7.36,8.29,3.05,2.95,2.15,2.01,4.69,4.81,5.65,6.03,http://www.spec.org/cpu95/results/res97q3/cpu95-970623-01966.html
329,1167,"2014-11-17 00:05:51.238807","2014-11-17 00:05:51.238807",1997-06-01,"Intel Corporation","Intel LT430TX motherboard (133MHz; NT)",2.78,3.53,3.63,4.27,1.83,2.24,2.22,1.3,2.79,3.1,4.85,3.56,http://www.spec.org/cpu95/results/res98q1/cpu95-980302-02525.html
330,1168,"2014-11-17 00:05:51.256332","2014-11-17 00:05:51.256332",1997-06-01,"Intel Corporation","Intel LT430TX motherboard (150MHz; NT)",2.76,3.58,3.4,3.98,1.77,2.27,2.38,1.29,2.98,3.21,4.8,3.37,http://www.spec.org/cpu95/results/res98q1/cpu95-980302-02527.html
331,1169,"2014-11-17 00:05:51.276750","2014-11-17 00:05:51.276750",1997-06-01,"Intel Corporation","Intel LT430TX motherboard (166MHz; MMX technology; NT)",3.88,4.38,6.85,7.66,2.84,2.61,2.63,1.67,3.68,4.28,5.28,5.36,http://www.spec.org/cpu95/results/res98q1/cpu95-980302-02532.html
332,1169,"2014-11-17 00:05:51.301711","2014-11-17 00:05:51.301711",1997-06-01,"Intel Corporation","Intel LT430TX motherboard (166MHz; NT)",3.07,3.97,3.78,4.42,1.98,2.52,2.64,1.44,3.31,3.55,5.33,3.77,http://www.spec.org/cpu95/results/res98q1/cpu95-980302-02529.html
333,1170,"2014-11-17 00:05:51.323785","2014-11-17 00:05:51.323785",1997-06-01,"Intel Corporation","Intel LT430TX motherboard (200MHz; Intel MMX technology; Win/NT)",4.28,4.83,7.34,8.16,3.04,2.85,3.03,1.92,4.28,4.97,5.49,5.91,http://www.spec.org/cpu95/results/res98q1/cpu95-980302-02535.html
334,1170,"2014-11-17 00:05:51.344551","2014-11-17 00:05:51.344551",1997-06-01,"Intel Corporation","Intel LT430TX motherboard (200MHz; NT)",3.37,4.39,3.95,4.61,2.17,2.76,3.03,1.59,3.82,4,5.84,4.02,http://www.spec.org/cpu95/results/res98q1/cpu95-980302-02531.html
335,1171,"2014-11-17 00:05:51.366314","2014-11-17 00:05:51.366314",1997-06-01,"Intel Corporation","Intel LT430TX motherboard (233MHz; MMX technology; NT)",4.55,5.18,7.63,8.42,3.15,3.04,3.38,1.96,4.79,5.5,5.64,6.25,http://www.spec.org/cpu95/results/res98q1/cpu95-980302-02537.html
336,1211,"2014-11-17 00:05:51.388283","2014-11-17 00:05:51.388283",1998-07-01,"Intel Corp.","Intel MS440GX motherboard (400MHz; 1MB L2)",12.4,13.7,17.6,24.4,9.3,7.94,7.98,7.54,10.8,16,20.1,13,http://www.spec.org/cpu95/results/res98q3/cpu95-980706-02862.html
337,1211,"2014-11-17 00:05:51.410013","2014-11-17 00:05:51.410013",1998-07-01,"Intel Corp.","Intel MS440GX motherboard (400MHz; 512KB L2)",12,13.2,17.5,24.3,7.9,7.81,7.9,7.46,11,14.7,20.1,12.8,http://www.spec.org/cpu95/results/res98q3/cpu95-980706-02863.html
338,1055,"2014-11-17 00:05:51.433128","2014-11-17 00:05:51.433128",1998-04-01,"Intel Corporation","Intel MU440EX motherboard (266MHz; UnixWare 2.0)",5.51,6.57,5.9,10.3,4.03,4.52,3.62,5.32,6.35,7.27,5.87,4.49,http://www.spec.org/cpu95/results/res98q2/cpu95-980429-02754.html
339,1056,"2014-11-17 00:05:51.452940","2014-11-17 00:05:51.452940",1998-08-01,Intel,"Intel MU440EX motherboard (300MHz; Unixware 2.0)",5.79,6.88,6.07,10.5,4.15,4.62,3.88,5.73,6.88,7.81,6.23,4.68,http://www.spec.org/cpu95/results/res98q3/cpu95-980831-03031.html
340,1057,"2014-11-17 00:05:51.473581","2014-11-17 00:05:51.473581",1998-08-01,Intel,"Intel MU440EX motherboard (333MHz; Unixware 2.0)",8.85,9.5,13.5,19.4,4.51,5.2,4.33,6.22,9.24,8.8,19.4,11.3,http://www.spec.org/cpu95/results/res98q3/cpu95-980831-03028.html
341,1225,"2014-11-17 00:05:51.495362","2014-11-17 00:05:51.495362",1999-11-01,"Intel Corporation","Intel OR840 motherboard",28.1,28.9,48.3,93.2,15.1,16.4,26.8,16.1,24,21.1,36.9,34.4,http://www.spec.org/cpu95/results/res99q4/cpu95-19991025-03888.html
342,1227,"2014-11-17 00:05:51.515917","2014-11-17 00:05:51.515917",1999-11-01,"Intel Corporation","Intel OR840 motherboard",29.7,30.5,50.6,93.6,15.7,16.9,28.9,16.9,25.9,22.5,40.6,36.7,http://www.spec.org/cpu95/results/res99q4/cpu95-19991025-03889.html
343,1206,"2014-11-17 00:05:51.536361","2014-11-17 00:05:51.536361",1997-05-01,Intel,"Intel PD440FX (Portland) motherboard (233MHz)",5.91,6.43,8.38,13.2,3.77,3.41,3.47,4.35,6.17,7.25,7.74,6.95,http://www.spec.org/cpu95/results/res97q2/cpu95-970507-01850.html
344,1206,"2014-11-17 00:05:51.556942","2014-11-17 00:05:51.556942",1997-07-01,Intel,"Intel PD440FX (Portland) motherboard (233MHz; L2 w/ ECC)",5.84,6.35,8.34,13.1,3.81,3.4,3.44,4.35,6.1,7.25,7.21,6.81,http://www.spec.org/cpu95/results/res97q2/cpu95-970507-01857.html
